Question,Answer,idx,topic
What are the descriptive statistics for the onset-to-death for coronavirus,Gamma distributed with a mean of 18.8 days and a coefficient of va riation 0.45,179,4
What is the molecular structure of bovine coronavirus,"single-stranded, linear, and nonsegmented RNA",180,7
What is the effect of Chloroquine(CQ) and Hydroxychloroquine(HCQ) on endosomal maturation and endocytosis in COVID-19 treatment,"Since acidification is crucial for endosome maturation and function, we surmise that endosome maturation might be blocked at intermediate stages of endocytosis,",181,8
What could account for the high transmission rate of the 2019-nCOV virus,"Intensive structural analysis of the S protein of 2019-nCoV with the SARS-Coronavirus suggested that several critical residues in the viral spike protein might confer favourable interaction with human ACE2 [7] . Of note, ACE2 is also abundantly present in humans in the epithelia of the small intestine besides the respiratory tract and is ubiquitously present in endothelial cells [8] , which might provide possible routes of transmission, and might account for the high transmission capacity of the new virus. ",182,10
What was the fatality rate for SARS-CoV,10%,183,1
How do SARS-CoV viral proteins interact with the immune response,"several viral proteins suppress the type I IFN response, and other aspects of innate antiviral immunity",184,3
What is the contrast with SARS-COV and MERS=COV,"SARS-CoV (lineage B βCoV) and MERS-CoV (lineage C βCoV) may cause severe lower respiratory tract infection with acute respiratory distress syndrome and extrapulmonary manifestations, such as diarrhea, lymphopenia, deranged liver and renal function tests, and multiorgan dysfunction syndrome, among both immunocompetent and immunocompromised hosts with mortality rates of ∼10% and ∼35%, respectively ",185,0
When did the World Health Organization (WHO) officially declare the 2019-nCoV epidemic as a Public Health Emergency of International Concern,30-Jan-20,186,2
How many COVID-19 cases were confirmed on the Diamond Princess cruise ship,"Out of a total of 3711 persons (consisting of 2666 passengers and 1045 crew members), 199 symptomatic cases have been diagnosed on board as of 24 February, and additional asymptomatic infections and symptomatic cases after disembarkation have also been reported",187,10
What was the reservoir for SARS-CoV and MERS-CoV,animal reservoirs,188,10
How does cell-entry differ between SARS-CoV and MERS-CoV,"SARS-CoV uses the ACE2 receptor to gain entry to cells, while MERS-CoV uses the ectopeptidase DPP4",189,1
What is the relationship between SARS-CoV and acute respiratory distress syndrome (ARDS),"In some patients there is a progression to the more severe form of ALI, acute respiratory distress syndrome (ARDS)",190,0
How does the transmissibility of 2019-nCOV compare with other viruses,2019-nCoV has potentially higher transmissibility (R0: 1.4-5.5) than both SARS-CoV (R0: [2] [3] [4] [5] and MERS-CoV (R0: 1),191,0
Why is it proposed that some bat SL-CoVs may be able to directly infect human hosts,Combined with evolutionary evidence that the bat ACE2 gene has been positively selected at the same contact sites as the human ACE2 gene for interacting with SARS CoV [,192,10
What was the role of corticosteroid use in hospitalized patients with SARS-CoV,"Retrospective analysis revealed that, when given at the correct time and to the appropriate patients, corticosteroid use could decrease mortality and also length of hospital stays",193,6
What does the SARS-CoV protein activate,NLRP3 inflammasome,194,5
What platform was instrumental in rapid sharing of COVID-19 information,Global Initiative on Sharing All Influenza Data (GISAID),195,9
How many COVID-19 cases were confirmed on the Diamond Princess cruise ship,199,196,10
Evidence of Hydroxychloroquine(HCQ) being anti inflammatory in SARS-CoV-2 critically ill patients with elevated plasma cytokines,HCQ is a safe and successful anti-inflammatory agent,197,0
Where can published genomic sequences be found for the 2019-nCoV virus,Global Initiative on Sharing All Influenza Data (GISAID) (https://www.gisaid.org/),198,1
How do most bat SARSr-COV differ from 2019-nCOV and human SARS-COV,bat SARSr-CoVs have two stretches of deletions in the spike receptor binding domain (RBD) when compared with that of human SARS-CoV,199,10
When does the infectivity of SARS-COV peak,"10 days after illness onset [7] , consistent with the peak in viral load at around that time",200,10
What is a recent discovery,Bat is believed to harbor many more viruses than we ever thought as a reservoir host or even a susceptible host ,201,10
Which immune factors were associated with increased SARS-CoV morbidity and mortality,a higher neutrophil count and low T-cell counts,202,6
What is the RNA of the 2019-nCOV,"29891 nucleotides in size, encoding 9860 amino acids",203,9
Why is it statistically impossible to determine which individual intervention had the greatest effect on reducing the coronavirus reproduction number,close spacing of interventions in time,204,7
When did the WHO declare COVID to be a Public Health Emergency of International Concern,30-Jan-20,205,2
