,sentence_Question,sentence_Answer,topic,sentiment
181,is oral swab for detecting 2019-n. cov infection sufficient,"patients infected with 2019-n. co. v may harbour the virus in the intestine at the early or late stage of disease. it is also worth to note none of the patients with viremia blood had positive swabs. these patients would likely be considered as 2019-n. co. v negative through routine surveillance, and thus pose a threat to other people.",6,0
182,which is the source animal for the mers-cov,dromedary camels are the major animal source of mers-co. v transmission to humans.,3,1
183,why is important to determine the spectrum of clinical manifestations of 2019-n. co. v infections,because it determines the strength of public health response required.,2,2
184,who is at greater risk of dying from covid19,patients with underlying medical conditions and the elderly,4,2
185,how do the s1 subunits compare with that of sars-like. cov and human sars-cov,"though the s1 subunit of 2019-n. co. v shares around 70% identity to that of the two bat sars-like co. vs and human sars-co. v.  ), the core domain of rbd.  are highly conserved (",4,2
186,what was done to test if an intermediate host may not be necessary and that some bat sl-co. vs may be able to directly infect human hosts. t,the exact s gene from bat coronavirus sl-shc014 was synthesized and used to generate a chimeric virus in the mouse adapted ma15 sars-co. v backbone.,5,1
187,what was the sars-cov-2 reservoir,the seafood market,1,1
188,how can the 2019-n. cov spread,"from person to person,",6,1
189,what is an example of a case-based measure against coronavirus,strong recommendations or laws to the general public and primary care about self? isolation when showing covid-19-like symptoms,2,2
190,in what species did the covid-19 virus likely originate,bats,5,1
191,how do sars-co. v and mers-co. v evade the immune system sensing it's genome,sars-co. v and mers-co. v are contained in double membrane vesicles,4,2
192,what is the prognostic role of coinfection in sars-co. v and mers-co. v infections,one factor that increased disease for patients infected with sars-co. v and mers-co. v was infection with other viruses or bacteria,6,0
193,what is the global coverage of influenza and pneumonia vaccines,"by the end of 2015, haemophilus influenzae type b conjugate vaccination had been introduced in 73 countries, with global coverage estimated at 68. however, inequities are still apparent among regions: in the americas coverage is estimated at 90%, while in the western pacific it is only 25. by 2015, pneumoccal conjugate vaccination had been introduced into 54 countries, with global coverage of 35% for three doses of pneumoccal conjugate vaccination for infant populations",0,1
194,what role does initial viral titer play in the prognosis of sars-co. v and mers-co. v,in patients with high initial viral titers there is a poor prognosis,2,0
195,how does the pathogenicity of 2019-n. cov compare with other viruses,"based on current evidence, pathogenicity for 2019-n. co. v is about 3%, which is significantly lower than sars-co. v.  and mers-co. v.",6,0
196,"in addition to oral swabs, which tests detected the presence of 2019-n. cov virus",the 2109-n. co. v rna was readily detected in the blood.  and the anal swabs..,6,1
197,why were civets proposed to be an intermediate host of the bat-co. vs capable of spreading sars co. v to humans,"t was proposed that the s gene from bat-derived co. v, unlike that from human patients-or civetsderived viruses, was unable to use human ace2 as a receptor for entry into human cells",0,2
198,why is there high uncertainty in estimating the impact of interventions against the coronavirus,too early to detect substantial intervention impact in many countries at earlier stages of their epidemic,0,0
199,estimated number of people in italy infected with coronavirus by march 28th,"cumulatively, 5. 9 [1. 9-15. 2] million people have been infected as of march 28th",2,0
